content,convId,userId,expected_meta
最近在找能做聚酰胺纤维的上游供应商，有没有靠谱的渠道推荐一下？,1782441481052,2059558271563870208,{"agentId": "0ebbbfe318764e33972ee78cd60f761c"}
最近我在找能稳定供货的高温变换催化剂供应商，咱们这边有没有现成的渠道或者下游经销商能对接一下？,1782441481053,2059558271563870208,{"agentId": "72d2abe16e32424aac127cef38a2aaf7"}
最近接了个精密加工的单子，客户要求用铣刀，咱们上游供应商这块有靠谱的渠道推荐吗？,1782441481054,2059558271563870208,{"agentId": "0ebbbfe318764e33972ee78cd60f761c"}
我们想开发做聚合釜的经销商，有没有什么渠道能直接找到这类客户资源？,1782441481055,2059558271563870208,{"agentId": "72d2abe16e32424aac127cef38a2aaf7"}
最近想拓展建筑涂料这块业务，有没有靠谱的上游供应商，能帮我们对接下游渠道？,1782441481056,2059558271563870208,{"agentId": "72d2abe16e32424aac127cef38a2aaf7"}
最近环氧树脂市场挺火，有没有客户有采购需求，我好对接一下商机？,1782441481057,2059558271563870208,{"agentId": "72d2abe16e32424aac127cef38a2aaf7"}
有没有做ABS树脂的客户资源，我这边想开发一些新下游渠道和经销商。,1782441481058,2059558271563870208,{"agentId": "0ebbbfe318764e33972ee78cd60f761c"}
哪里能找到需要石英玻璃器皿坩埚的客户，或者有啥渠道能挖掘到这类商机？,1782441481059,2059558271563870208,{"agentId": "72d2abe16e32424aac127cef38a2aaf7"}
有没有做金属切割设备的客户，我想开发点下游经销商渠道？,1782441481060,2059558271563870208,{"agentId": "72d2abe16e32424aac127cef38a2aaf7"}
最近手头有个客户要做硬质合金，需要真空烧结炉，哪位朋友有靠谱的上游供应商可以推荐？,1782441481061,2059558271563870208,{"agentId": "72d2abe16e32424aac127cef38a2aaf7"}
最近在找硫酸钴的客户，有没有靠谱的经销商资源可以对接一下？,1782441481062,2059558271563870208,{"agentId": "72d2abe16e32424aac127cef38a2aaf7"}
最近想找一些锂矿的上游供应商，方便对接一下吗？,1782441481063,2059558271563870208,{"agentId": "0ebbbfe318764e33972ee78cd60f761c"}
最近想找一些做手机批发的上游供应商，有没有靠谱的渠道推荐？,1782441481064,2059558271563870208,{"agentId": "72d2abe16e32424aac127cef38a2aaf7"}
最近手头有个项目，想找能稳定供货的锂辉石精矿上游供应商，有渠道介绍吗？,1782441481065,2059558271563870208,{"agentId": "72d2abe16e32424aac127cef38a2aaf7"}
最近想开发电子厂客户，哪里能找到需要薄膜生长设备的上游供应商？,1782441481066,2059558271563870208,{"agentId": "72d2abe16e32424aac127cef38a2aaf7"}
有没有做起重机的大客户，想挖点商机，或者有上游供应商渠道推荐一下？,1782441481067,2059558271563870208,{"agentId": "0ebbbfe318764e33972ee78cd60f761c"}
我们这批95号车用汽油，最近有哪些上游供应商能稳定供货，适合开发成渠道商机？,1782441481068,2059558271563870208,{"agentId": "0ebbbfe318764e33972ee78cd60f761c"}
最近我手头有几个做工程的客户，想找混凝土泵车这块的上游供应商，有没有靠谱的渠道推荐？,1782441481069,2059558271563870208,{"agentId": "0ebbbfe318764e33972ee78cd60f761c"}
商机在哪，想找做商品混凝土的经销商和上游供应商，怎么开发渠道？,1782441481070,2059558271563870208,{"agentId": "0ebbbfe318764e33972ee78cd60f761c"}
在线分析仪器这个行业，怎么找到靠谱的经销商帮我铺开渠道？,1782441481071,2059558271563870208,{"agentId": "72d2abe16e32424aac127cef38a2aaf7"}
我刚接手一批储能电池组系统模块，想找靠谱的经销商合作，怎么快速铺开渠道啊？,1782441481072,2059558271563870208,{"agentId": "72d2abe16e32424aac127cef38a2aaf7"}
各位经销商老板，最近智能手机这块的行情怎么样，有没有合适的上游供应商推荐？,1782441481073,2059558271563870208,{"agentId": "0ebbbfe318764e33972ee78cd60f761c"}
最近在找一些新的上游供应商，有没有做无取向电工钢板带渠道比较好、能对接下游客户的？,1782441481074,2059558271563870208,{"agentId": "72d2abe16e32424aac127cef38a2aaf7"}
各家卷绕机的上游供应商渠道怎么找，靠谱的同行能不能介绍几个？,1782441481075,2059558271563870208,{"agentId": "0ebbbfe318764e33972ee78cd60f761c"}
